C05001140153|AD4V02-VISHAL FRUIT JUICE|I|1-A, CENTRAL ROAD ,BHOGAL|CENTRAL ROAD|110014|-24372512|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140156|AD3H08-HANS RAJ STORE|I|OPP.4,CENTREL ROAD|CENTRAL ROAD|110014|-24373704|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140157|AD3L01-LAKSHMI STORE|I|MASJID LANE|MASJID ROAD||-|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140158|AD3P04-PANDITA DI HATTI|I|118 SAMON BAZAR|SAMMAN BAZAR||-55650625|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140161|AD4M08-MANGLA DISTRIBUTOR|I|59,BHOGAL ROAD|BHOGAL ROAD||-24370394|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140163|AD2M04-NEW MORNING STORE|I|55/2 MAZID RD . BHOGAL|MASJID ROAD|110014|-24371368|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140164|AD3S15-SOFT NET|I|17,BHOGAL LANE|BHOGAL ROAD||-41823725|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140165|AD3R09-RAJNI STORE|I|BHOGAL|BHOGAL ROAD||-|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140166|AD3J02-JAGDISH PARSHAD STORE|I|22/3,BHOGAL ROAD|BHOGAL ROAD||-65690136|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140168|AD3B05-BALAJI PROVISION|I|26,CHURCH ROAD|CHURCH ROAD||-9999343771|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140171|AD2D03-DMS 1109|I|OPP.RAILWAY CROSSING|PISORI MOHALA|110014|-9871972090|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140172|AD4M02-MODI STORE|I|42,CENTRAL ROAD,BHOGAL|CENTRAL ROAD|110014|-24373321|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140173|AD4A02-AJAY STORE|I|3 ,JANGPURA EXT.|JANGPURA EXT||-|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140174|AD4C03-COOL POINT|I|4/20 JANGPURA EXT.|JANGPURA EXT||-9899814847|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140175|AD1S07-SULTANI MUSIC CENTRE|I|294, BOALI GATE DARGAH HZT. N||110013|-|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140176|AD1M17-MAMI  STORE|I||NIZAMUDDIN BASTI|110013||||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140177|AD4A01-AJAY PAKORA|I|20, CENTERAL ROAD , BHOG|CENTRAL ROAD|110014|-65865444|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140178|AD4J02-JANTA BAKERY|I|43 , CENTERAL ROAD , BHOG|CENTRAL ROAD|110014|-24376677|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
